"","author","title","journal","year","volume","issue","bpage","epage","type"
"618","A Guay, O Scaillet","Indirect inference, nuisance parameter, and threshold moving average models","Journal of Business & Economic Statistics",2003,21,"1",122,132,"econometrics"
"619","F Busetti, A Harvey","Seasonality tests","Journal of Business & Economic Statistics",2003,21,"3",420,436,"econometrics"
"620","F Busetti, AMR Taylor","Variance shifts, structural breaks, and stationarity tests","Journal of Business & Economic Statistics",2003,21,"4",510,531,"econometrics"
"621","JD Hamilton","What is an oil shock?","Journal of Econometrics",2003,113,"2",363,398,"econometrics"
"622","PR Hansen","Structural changes in the cointegrated vector autoregressive model","Journal of Econometrics",2003,114,"2",261,295,"econometrics"
"623","P Perron, G Rodriguez","GLS detrending, efficient unit root tests and structural change","Journal of Econometrics",2003,115,"1",1,27,"econometrics"
"624","E Ghysels, A Guay","Structural change tests for simulated method of moments","Journal of Econometrics",2003,115,"1",91,123,"econometrics"
"625","F Busetti, AMR Taylor","Testing against stochastic trend and seasonality in the presence of unattended breaks and unit roots","Journal of Econometrics",2003,117,"1",21,53,"econometrics"
"626","F Altissimo, V Corradi","Strong rules for detecting the number of breaks in a time series","Journal of Econometrics",2003,117,"2",207,244,"econometrics"
"627","T Visek","The likelihood ratio method for testing changes in the parameters of double exponential observations","Journal of Statistical Planning and Inference",2003,113,"1",79,111,"statistics"
"628","KY Ding","A lower confidence bound for the change point after a sequential CUSUM test","Journal of Statistical Planning and Inference",2003,115,"1",311,326,"statistics"
"629","F Busetti, A Harvey","Further comments on stationarity tests in series with structural breaks at unknown points","Journal of Time Series Analysis",2003,24,"2",137,140,"statistics"
"630","DI Harvey, TC Mills","A note on Busetti-Harvey tests for stationarity in series with structural breaks","Journal of Time Series Analysis",2003,24,"2",159,164,"statistics"
"631","MC Medeiros, A Veiga","Diagnostic checking in a flexible nonlinear time series model","Journal of Time Series Analysis",2003,24,"4",461,482,"statistics"
"632","HP Zhang, CY Yu, HT Zhu, J Shi","Identification of linear directions in multivariate adaptive spline models","Journal of the American Statistical Association",2003,98,"462",369,376,"statistics"
"633","MA Suchard, RE Weiss, KS Dorman, JS Sinsheimer","Inferring spatial phylogenetic variation along nucleotide sequences: A multiple changepoint model","Journal of the American Statistical Association",2003,98,"462",427,437,"statistics"
"634","AM Krieger, M Pollak, B Yakir","Surveillance of a simple linear regression","Journal of the American Statistical Association",2003,98,"462",456,469,"statistics"
"635","P Hall, HG Muller","Order-preserving nonparametric regression, with applications to conditional distribution and quantile function estimation","Journal of the American Statistical Association",2003,98,"463",598,608,"statistics"
"636","XM He, LX Zhu","A lack-of-fit test for quantile regression","Journal of the American Statistical Association",2003,98,"464",1013,1022,"statistics"
"637","C Sonesson, D Bock","A review and discussion of prospective statistical surveillance in public health","Journal of the Royal Statistical Society A",2003,166,NA,5,21,"statistics"
"638","F Carsoule, PH Franses","A note on monitoring time-varying parameters in an autoregression","Metrika",2003,57,"1",51,62,"statistics"
"639","EEAA Aly, AES Abd-Rabou, NM Al-Kandari","Tests for multiple change points under ordered alternatives","Metrika",2003,57,"3",209,221,"statistics"
"640","A Estrella, JC Fuhrer","Monetary policy shifts and the stability of monetary policy models","Review of Economics and Statistics",2003,85,"1",94,104,"econometrics"
"641","AM Piehl, SJ Cooper, AA Braga, DM Kennedy","Testing for structural breaks in the evaluation of programs","Review of Economics and Statistics",2003,85,"3",550,558,"econometrics"
"642","A Estrella, AP Rodrigues, S Schich","How stable is the predictive power of the yield curve? Evidence from Germany and the United States","Review of Economics and Statistics",2003,85,"3",629,644,"econometrics"
"643","J Lee, MC Strazicich","Minimum Lagrange multiplier unit root test with two structural breaks","Review of Economics and Statistics",2003,85,"4",1082,1089,"econometrics"
"644","R Hoglund, R Ostermark","Size and power of some cointegration tests under structural breaks and heteroskedastic noise","Statistical Papers",2003,44,"1",1,22,"statistics"
"645","U Hassler","Nonsense regressions due to neglected time-varying means","Statistical Papers",2003,44,"2",169,182,"statistics"
"646","AS Dabye, C Farinetto, YA Kutoyants","On Bayesian estimators in misspecified change-point problems for Poisson process","Statistics & Probability Letters",2003,61,"1",17,30,"statistics"
"647","M Huskova","Serial rank statistics for detection of changes","Statistics & Probability Letters",2003,61,"2",199,213,"statistics"
"648","CQ Wu, LC Zhao, YH Wu","Estimation in change-point hazard function models","Statistics & Probability Letters",2003,63,"1",41,48,"statistics"
"649","JC Fu, G Shmueli, YM Chang","A unified Markov chain approach for computing the run length distribution in control charts with simple or compound rules","Statistics & Probability Letters",2003,65,"4",457,466,"statistics"
"650","O Pons","Estimation in a Cox regression model with a change-point according to a threshold in a covariate","The Annals of Statistics",2003,31,"2",442,463,"statistics"
"651","P Hall, I Molchanov","Sequential methods for design-adaptive estimation of discontinuities in regression curves and surfaces","The Annals of Statistics",2003,31,"3",921,941,"statistics"
"652","CD Fuh","SPRT and CUSUM in hidden Markov models","The Annals of Statistics",2003,31,"3",942,977,"statistics"
"653","J O'quigley, L Natarajan","Erosion of regression effect in a survival study","Biometrics",2004,60,"2",344,351,"statistics"
"654","SM O'brien","Cutpoint selection for categorizing a continuous predictor","Biometrics",2004,60,"2",504,509,"statistics"
"655","HJ Kim, MP Fay, BB Yu, MJ Barrett, EJ Feuer","Comparability of segmented line regression models","Biometrics",2004,60,"4",1005,1014,"statistics"
"656","D Siegmund","Model selection in irregular problems: Applications to mapping quantitative trait loci","Biometrika",2004,91,"4",785,800,"statistics"
"657","Z Guan","A semiparametric changepoint model","Biometrika",2004,91,"4",849,862,"statistics"
"658","S Cook, N Manning","The disappointing properties of GLS-based unit root tests in the presence of structural breaks","Communications in Statistics: Simulation and Computation",2004,33,"3",585,596,"statistics"
"659","E Andersson","The impact of intensity in surveillance of cyclical processes","Communications in Statistics: Simulation and Computation",2004,33,"4",889,913,"statistics"
"660","J Park, S Park","Estimation of the change point in the (X)over-bar and S control charts","Communications in Statistics: Simulation and Computation",2004,33,"4",1115,1132,"statistics"
"661","YD Lee","Unified solutions of integral equations of SPRT for exponential random variables","Communications in Statistics: Theory and Methods",2004,33,"1",65,74,"statistics"
"662","A Ramanayake","Tests for a change point in the shape parameter of gamma random variables","Communications in Statistics: Theory and Methods",2004,33,"4",821,833,"statistics"
"663","I Gijbels, AC Goderniaux","Data-driven discontinuity detection in derivatives of a regression function","Communications in Statistics: Theory and Methods",2004,33,"4",851,871,"statistics"
"664","B Kezim, Z Abdelli","A Bayesian analysis of a structural change in the parameters of a time series","Communications in Statistics: Theory and Methods",2004,33,"8",1863,1876,"statistics"
"665","LY Kim, M Woodroofe, YH Wu","Testing for a change inn the hazard rate with staggered entry","Communications in Statistics: Theory and Methods",2004,33,"9",2041,2058,"statistics"
"666","A Ramanayake, AK Gupta","Epidemic change model for the exponential family","Communications in Statistics: Theory and Methods",2004,33,"9",2175,2198,"statistics"
"667","YS Shih, HW Tsai","Variable selection bias in regression trees with constant fits","Computational Statistics & Data Analysis",2004,45,"3",595,607,"statistics"
"668","CS Li, D Hunt","Regression splines for threshold selection with application to a random-effects logistic dose-response model","Computational Statistics & Data Analysis",2004,46,"1",1,9,"statistics"
"669","I Berkes, E Gombay, L Horvath, P Kokoszka","Sequential change-point detection in GARCH(p,q) models","Econometric Theory",2004,20,"6",1140,1167,"econometrics"
"670","E Ghysels, A Guay","Testing for structural change in the presence of auxiliary models","Econometric Theory",2004,20,"6",1168,1202,"econometrics"
"671","H Lutkepohl, P Saikkonen, C Trenkler","Testing for the cointegrating rank of a VAR process with level shift at unknown time","Econometrica",2004,72,"2",647,662,"econometrics"
"672","G Cavaliere","Testing stationarity under a permanent variance shift","Economics Letters",2004,82,"3",403,408,"econometrics"
"673","PM Summers","Bayesian evidence on the structure of unemployment","Economics Letters",2004,83,"3",299,306,"econometrics"
"674","JT Lafrance","Integrability of the linear approximate almost ideal demand system","Economics Letters",2004,84,"3",297,303,"econometrics"
"675","P Keblowski, A Welfe","The ADF-KPSS test of the joint confirmation hypothesis of unit autoregressive root","Economics Letters",2004,85,"2",257,263,"econometrics"
"676","Z Psaradakis, M Sola, F Spagnolo","On Markov error-correction models, with an application to stock prices and dividends","Journal of Applied Econometrics",2004,19,"1",69,88,"econometrics"
"677","R Becker, W Enders, S Hurn","A general test for time dependence in parameters","Journal of Applied Econometrics",2004,19,"7",899,906,"econometrics"
"678","CJ Kim","The less-volatile US economy: A Bayesian investigation of timing, breadth, and potential explanations","Journal of Business & Economic Statistics",2004,22,"1",80,93,"econometrics"
"679","E Jondeau, H Le bihan, C Galles","Assessing generalized method-of-moments estimates of the Federal Reserve reaction function","Journal of Business & Economic Statistics",2004,22,"2",225,238,"econometrics"
"680","I Fiteni","tau-estimators of regression models with structural change of unknown location","Journal of Econometrics",2004,119,"1",19,44,"econometrics"
"681","JM Dufour, L Khalaf, JT Bernard, I Genest","Simulation-based finite-sample tests for heteroskedasticity and ARCH effects","Journal of Econometrics",2004,122,"2",317,347,"econometrics"
"682","F Busetti, AMR Taylor","Tests of stationarity against a change in persistence","Journal of Econometrics",2004,123,"1",33,66,"econometrics"
"683","Y Ninomiya","Construction of conservative test for change-point problem in two-dimensional random fields","Journal of Multivariate Analysis",2004,89,"2",219,242,"statistics"
"684","D Scholtens, A Miron, FM Merchant, A Miller, PL Miron, JD Iglehart, R Gentleman","Analyzing factorial designed microarray experiments","Journal of Multivariate Analysis",2004,90,"1",19,43,"statistics"
"685","M Huskova, G Neuhaus","Change point analysis for censored data","Journal of Statistical Planning and Inference",2004,126,"1",207,223,"statistics"
"686","L Horvath, M Huskova, P Kokoszka, J Steinebach","Monitoring changes in linear models","Journal of Statistical Planning and Inference",2004,126,"1",225,251,"statistics"
"687","R Gill, M Baron","Consistent estimation in generalized broken-line regression","Journal of Statistical Planning and Inference",2004,126,"2",441,460,"statistics"
"688","A Rackauskas, C Suquet","Holder norm test statistics for epidemic change","Journal of Statistical Planning and Inference",2004,126,"2",495,520,"statistics"
"689","U Hassler, PMM Rodrigues","Seasonal unit root tests under structural breaks","Journal of Time Series Analysis",2004,25,"1",33,53,"statistics"
"690","LA Gil-Alana","A joint test of fractional integration and structural breaks at a known period of time","Journal of Time Series Analysis",2004,25,"5",691,700,"statistics"
"691","TH Kim, S Leybourne, P Newbold","Behaviour of Dickey-Fuller unit-root tests under trend misspecification","Journal of Time Series Analysis",2004,25,"5",755,764,"statistics"
"692","O Grigg, V Farewell","An overview of risk-adjusted charts","Journal of the Royal Statistical Society A",2004,167,NA,523,539,"statistics"
"693","TY Yang","Bayesian binary segmentation procedure for detecting streakiness in sports","Journal of the Royal Statistical Society A",2004,167,NA,627,637,"statistics"
"694","CH Jackson, LD Sharples","Models for longitudinal data with censored changepoints","Journal of the Royal Statistical Society C",2004,53,NA,149,162,"statistics"
"695","H Caussinus, O Mestre","Detection and correction of artificial shifts in climate series","Journal of the Royal Statistical Society C",2004,53,NA,405,425,"statistics"
"696","MA Scott, RG Norman, KI Berger","Modelling growth and decline in lung function in Duchenne's muscular dystrophy with an augmented linear mixed effects model","Journal of the Royal Statistical Society C",2004,53,NA,507,521,"statistics"
"697","T Mikosch, C Starica","Nonstationarities in financial time series, the long-range dependence, and the IGARCH effects","Review of Economics and Statistics",2004,86,"1",378,390,"econometrics"
"698","M Sensier, D Van dijk","Testing for volatility changes in US macroeconomic time series","Review of Economics and Statistics",2004,86,"3",833,839,"econometrics"
"699","A Zeileis","Alternative boundaries for CUSUM tests","Statistical Papers",2004,45,"1",123,131,"statistics"
"700","P Sibbertsen","Long memory versus structural breaks: An overview","Statistical Papers",2004,45,"4",465,515,"statistics"
"701","S Lee, S Na","A nonparametric test for the change of the density function in strong mixing processes","Statistics & Probability Letters",2004,66,"1",25,34,"statistics"
"702","W Bischoff, E Hashorva, K Husler, F Miller","On the power of the Kolmogorov test to detect the trend of a Brownian bridge with applications to a change-point problem in regression models","Statistics & Probability Letters",2004,66,"2",105,115,"statistics"
"703","CW Park, WC Kim","Estimation of a regression function with a sharp change point using boundary wavelets","Statistics & Probability Letters",2004,66,"4",435,448,"statistics"
"704","A Aue, L Horvath","Delay time in sequential detection of change","Statistics & Probability Letters",2004,67,"3",221,231,"statistics"
"705","A Aue","Strong approximation for RCA(1) time series with applications","Statistics & Probability Letters",2004,68,"4",369,382,"statistics"
"706","S Cook, D Vougas","On the finite-sample size distortion of smooth transition unit root tests","Statistics & Probability Letters",2004,70,"3",175,182,"statistics"
"707","I Berkes, L Horvath, P Kokoszka","Testing for parameter constancy in GARCH(p,q) models","Statistics & Probability Letters",2004,70,"4",263,273,"statistics"
"708","GV Moustakides","Optimality of the CUSUM procedure in continuous time","The Annals of Statistics",2004,32,"1",302,315,"statistics"
"709","D Han, F Tsung","A generalized EWMA control chart and its comparison with the optimal EWMA, CUSUM and GLR schemes","The Annals of Statistics",2004,32,"1",316,339,"statistics"
"710","CD Fuh","Asymptotic operating characteristics of an optimal change point detection in hidden Markov models","The Annals of Statistics",2004,32,"5",2305,2339,"statistics"
"711","C Hans, DB Dunson","Bayesian inferences on umbrella orderings","Biometrics",2005,61,"4",1018,1026,"statistics"
"712","ZG Wang, JD Wang","Parameter estimation of some NHPP software reliability models with change-point","Communications in Statistics: Simulation and Computation",2005,34,"1",121,134,"statistics"
"713","JH Lee, BF Qaqish","A latent changepoint model using a generalized estimating equations approach","Communications in Statistics: Theory and Methods",2005,34,"5",1233,1242,"statistics"
"714","R Habibi, SM Sadooghi-Alvandi, AR Nematollahi","Change point detection in a general class of distributions","Communications in Statistics: Theory and Methods",2005,34,"9-10",1935,1938,"statistics"
"715","Y Chung, DK Dey, M Kim, C Kim","Bayesian model choice in exponential survival models","Communications in Statistics: Theory and Methods",2005,34,"12",2311,2330,"statistics"
"716","RH Loschi, FRB Cruz","Extension to the product partition model: computing the probability of a change","Computational Statistics & Data Analysis",2005,48,"2",255,268,"statistics"
"717","L Khalaf, M Kichian","Exact tests of the stability of the Phillips curve: the Canadian case","Computational Statistics & Data Analysis",2005,49,"2",445,460,"statistics"
"718","ACBS Lopes, A Montanes","The behavior of Hegy tests for quarterly time series with seasonal mean shifts","Econometric Reviews",2005,24,"1",83,108,"econometrics"
"719","D Guegan","How can we define the concept of long memory? An econometric survey","Econometric Reviews",2005,24,"2",113,149,"econometrics"
"720","A Zeileis","A unified approach to structural change tests based on ML scores, F statistics, and OLS residuals","Econometric Reviews",2005,24,"4",445,466,"econometrics"
"721","B Rossi","Optimal tests for nested model selection with underlying parameter instability","Econometric Theory",2005,21,"5",962,990,"econometrics"
"722","G Cavaliere, AMR Taylor","Stationarity tests under time-varying second moments","Econometric Theory",2005,21,"6",1112,1129,"econometrics"
"723","J Belaire-Franch","A proof of the power of Kim's test against stationary processes with structural breaks","Econometric Theory",2005,21,"6",1172,1176,"econometrics"
"724","JR Magnus, AK Sinha","On Theil's errors","Econometrics Journal",2005,8,"1",39,54,"econometrics"
"725","JL Carrion-i-Silvestre, T Del barrio-Castro, E Lopez-Bazo","Breaking the panels: An application to the GDP per capita","Econometrics Journal",2005,8,"2",159,175,"econometrics"
"726","G Yoon","Long-memory property of nonlinear transformations of break processes","Economics Letters",2005,87,"3",373,377,"econometrics"
"727","JJ Kruger","Structural change in US manufacturing: Stationarity and intra-distributional changes","Economics Letters",2005,87,"3",387,392,"econometrics"
"728","S De wachter, E Tzavalis","Monte Carlo comparison of model and moment selection and classical inference approaches to break detection in panel data models","Economics Letters",2005,88,"1",91,96,"econometrics"
"729","CC Hsu","Long memory or structural changes: An empirical examination on inflation rates","Economics Letters",2005,88,"2",289,294,"econometrics"
"730","S Cook","The stationarity of consumption-income ratios: Evidence from minimum LM unit root testing","Economics Letters",2005,89,"1",55,60,"econometrics"
"731","D Van dijk, DR Osborn, M Sensier","Testing for causality in variance in the presence of breaks","Economics Letters",2005,89,"2",193,199,"econometrics"
"732","E Gaffeo, M Gallegati, M Gallegati","Requiem for the unit root in per capita real GDP? Additional evidence from historical data","Empirical Economics",2005,30,"1",37,63,"econometrics"
"733","A Zeileis, F Leisch, C Kleiber, K Hornik","Monitoring structural change in dynamic econometric models","Journal of Applied Econometrics",2005,20,"1",99,121,"econometrics"
"734","A Zeileis, C Kleiber","Validating multiple structural change models - A case study","Journal of Applied Econometrics",2005,20,"5",685,690,"econometrics"
"735","CJ Kim, JC Morley, CR Nelson","The structural break in the equity premium","Journal of Business & Economic Statistics",2005,23,"2",181,191,"econometrics"
"736","A Smith","Level shifts and the illusion of long memory in economic time series","Journal of Business & Economic Statistics",2005,23,"3",321,335,"econometrics"
"737","A Inoue, B Rossi","Recursive predictability tests for real-time data","Journal of Business & Economic Statistics",2005,23,"3",336,345,"econometrics"
"738","D Harris, S Leybourne, B Mccabe","Panel stationarity tests for purchasing power parity with cross-sectional dependence","Journal of Business & Economic Statistics",2005,23,"4",395,409,"econometrics"
"739","AM Herrera, E Pesavento","The decline in US output volatility: Structural changes and inventory investment","Journal of Business & Economic Statistics",2005,23,"4",462,472,"econometrics"
"740","TE Clark, MW Mccracken","The power of tests of predictive ability in the presence of structural breaks","Journal of Econometrics",2005,124,"1",1,31,"econometrics"
"741","P Andrade, C Bruneau, S Gregoir","Testing for the cointegration rank when some cointegrating directions are changing","Journal of Econometrics",2005,124,"2",269,310,"econometrics"
"742","GM Chen, YK Choi, Y Zhou","Nonparametric estimation of structural change points in volatility models for time series","Journal of Econometrics",2005,126,"1",79,114,"econometrics"
"743","CJM Paula, R Nehring","Product diversification, production systems, and economic performance in US agricultural production","Journal of Econometrics",2005,126,"2",525,548,"econometrics"
"744","T Juhl, ZJ Xiao","A nonparametric test for changing trends","Journal of Econometrics",2005,127,"2",179,199,"econometrics"
"745","A Banerjee, G Urga","Modelling structural breaks, long memory and stock market volatility: an overview","Journal of Econometrics",2005,129,"1-2",1,34,"econometrics"
"746","A Montanes, I Olloqui, E Calvo","Selection of the break in the Perron-type tests","Journal of Econometrics",2005,129,"1-2",41,64,"econometrics"
"747","P Perron, XK Zhu","Structural breaks with deterministic and stochastic trends","Journal of Econometrics",2005,129,"1-2",65,119,"econometrics"
"748","P Gagliardini, F Trojani, G Urga","Robust GMM tests for structural breaks","Journal of Econometrics",2005,129,"1-2",139,182,"econometrics"
"749","MH Pesaran, A Timmermann","Small sample properties of forecasts from autoregressive models under structural breaks","Journal of Econometrics",2005,129,"1-2",183,217,"econometrics"
"750","S Lazarova","Testing for structural change in regression with long memory processes","Journal of Econometrics",2005,129,"1-2",329,372,"econometrics"
"751","S Lee, O Na","Test for parameter change in stochastic processes based on conditional least-squares estimator","Journal of Multivariate Analysis",2005,93,"2",375,393,"statistics"
"752","G Chiu, R Lockhart, R Routledge","Asymptotic theory for bent-cable regression - the basic case","Journal of Statistical Planning and Inference",2005,127,"1-2",143,156,"statistics"
"753","L Horvath, M Huskova","Testing for changes using permutations of U-statistics","Journal of Statistical Planning and Inference",2005,128,"2",351,371,"statistics"
"754","A Majumdar, AE Gelfand, S Banerjee","Spatio-temporal change-point modeling","Journal of Statistical Planning and Inference",2005,130,"1-2",149,166,"statistics"
"755","G Gurevich, A Vexler","Change point problems in the model of logistic regression","Journal of Statistical Planning and Inference",2005,131,"2",313,331,"statistics"
"756","B Brodsky, B Darkhovsky","Asymptotically optimal methods of change-point detection for composite hypotheses","Journal of Statistical Planning and Inference",2005,133,"1",123,138,"statistics"
"757","G Kapetanios","Unit-root testing against the alternative hypothesis of up to m structural breaks","Journal of Time Series Analysis",2005,26,"1",123,133,"statistics"
"758","CP Wang, CH Brown, K Bandeen-Roche","Residual diagnostics for growth mixture models: Examining the impact of a preventive intervention on multiple trajectories of aggressive behavior","Journal of the American Statistical Association",2005,100,"471",1054,1076,"statistics"
"759","W Bischoff, E Hashorva, J Husler, F Miller","Analysis of a change-point regression problem in quality control by partial sums processes and Kolmogorov type tests","Metrika",2005,62,"1",85,98,"statistics"
"760","C Starica, C Granger","Nonstationarities in stock returns","Review of Economics and Statistics",2005,87,"3",503,522,"econometrics"
"761","P Gottschalk","Downward nominal-wage flexibility: Real or measurement error?","Review of Economics and Statistics",2005,87,"3",556,568,"econometrics"
"762","JM Campa, LS Goldberg","Exchange rate pass-through into import prices","Review of Economics and Statistics",2005,87,"4",679,690,"econometrics"
"763","G O'reilly, K Whelan","Has EURO-area inflation persistence changed over time?","Review of Economics and Statistics",2005,87,"4",709,720,"econometrics"
"764","S Knoth","Fast initial response features for EWMA control charts","Statistical Papers",2005,46,"1",47,64,"statistics"
"765","A Steland","On the distribution of the clipping median under a mixture model","Statistics & Probability Letters",2005,71,"1",1,13,"statistics"
"766","Y Ninomiya","Information criterion for Gaussian change-point model","Statistics & Probability Letters",2005,72,"3",237,247,"statistics"
"767","S Ben hariz, JJ Wylie","Rates of convergence for the change-point estimator for long-range dependent sequences","Statistics & Probability Letters",2005,73,"2",155,164,"statistics"
"768","G Lorden, M Pollak","Nonanticipating estimation applied to sequential analysis and changepoint detection","The Annals of Statistics",2005,33,"3",1422,1454,"statistics"
"769","R Kulperger, H Yu","High moment partial sum processes of residuals in GARCH models and their applications","The Annals of Statistics",2005,33,"5",2395,2422,"statistics"
"770","H Jacqmin-Gadda, D Commenges, JF Dartigues","Random changepoint model for joint modeling of cognitive decline and dementia","Biometrics",2006,62,"1",254,260,"statistics"
"771","MP Gadre, RN Rattihalli","Modified Group Runs control charts to detect increases in fraction non conforming and shifts in the process mean","Communications in Statistics: Simulation and Computation",2006,35,"1",225,240,"statistics"
"772","S Khedhiri","Alternative tests for parameter stability","Communications in Statistics: Simulation and Computation",2006,35,"2",347,360,"statistics"
"773","S Lee, S Park, K Maekawa, KI Kawai","Test for parameter change in ARIMA models","Communications in Statistics: Simulation and Computation",2006,35,"2",429,439,"statistics"
"774","P Besse, C Le gall","Application and reliability of change-point analyses for detecting a defective stage in integrated circuit manufacturing","Communications in Statistics: Simulation and Computation",2006,35,"2",479,496,"statistics"
"775","X Pan","A simple method using CuScore to monitor changes in ARMA coefficients","Communications in Statistics: Simulation and Computation",2006,35,"2",515,530,"statistics"
"776","A Escribano, AE Sipols, F Aparicio","Nonlinear cointegration and nonlinear error correction: Record counting cointegration tests","Communications in Statistics: Simulation and Computation",2006,35,"4",939,956,"statistics"
"777","S Han, Z Tian","Truncating estimation for the mean change-point in heavy-tailed dependent observations","Communications in Statistics: Theory and Methods",2006,35,"1",43,52,"statistics"
"778","PA Rogerson","Formulas for the design of CUSUM quality control charts","Communications in Statistics: Theory and Methods",2006,35,"2",373,383,"statistics"
"779","A Vexler, G Gurevich","Guaranteed local maximum likelihood detection of a change point in nonparametric logistic regression","Communications in Statistics: Theory and Methods",2006,35,"4",711,726,"statistics"
"780","RS Gill, JP Keating, MI Baron","Detecting abrupt leaks in blended underground storage tanks","Communications in Statistics: Theory and Methods",2006,35,"4",727,742,"statistics"
"781","G Gurevich","Nonparametric AMOC changepoint tests for stochastically ordered alternatives","Communications in Statistics: Theory and Methods",2006,35,"5",887,903,"statistics"
"782","A Delaigle, I Gijbels","Data-driven boundary estimation in deconvolution problems","Computational Statistics & Data Analysis",2006,50,"8",1965,1994,"statistics"
"783","E Deschepper, O Thas, JP Ottoy","Regional residual plots for assessing the fit of linear regression models","Computational Statistics & Data Analysis",2006,50,"8",1995,2013,"statistics"
"784","M Mazzocchi","Time patterns in UK demand for alcohol and tobacco: an application of the EM algorithm","Computational Statistics & Data Analysis",2006,50,"9",2191,2205,"statistics"
"785","A Zeileis","Implementing a class of structural change tests: An econometric computing approach","Computational Statistics & Data Analysis",2006,50,"11",2987,3008,"statistics"
"786","P Saikkonen, H Lutkepohl, C Trenkler","Break date estimation for var processes with level shift with an application to cointegration testing","Econometric Theory",2006,22,"1",15,68,"econometrics"
"787","L Horvath, P Kokoszka, AN Zhang","Monitoring constancy of variance in conditionally heteroskedastic time series","Econometric Theory",2006,22,"3",373,402,"econometrics"
"788","JL Carrion-Silvestre, A Sanso","Joint hypothesis specification for unit root tests with a structural break","Econometrics Journal",2006,9,"2",196,224,"econometrics"
"789","H Liu, G Rodriguez","Unit root tests and structural change when the initial observation is drawn from its unconditional distribution","Econometrics Journal",2006,9,"2",225,251,"econometrics"
"790","A Aue, L Horvath, M Huskova, P Kokoszka","Change-point monitoring in linear models","Econometrics Journal",2006,9,"3",373,403,"econometrics"
"791","A Deng, P Perron","A comparison of alternative asymptotic frameworks to analyse a structural change in a linear time trend","Econometrics Journal",2006,9,"3",423,447,"econometrics"
"792","J Westerlund","Testing for panel cointegration with a level break","Economics Letters",2006,91,"1",27,33,"econometrics"
"793","JL Carrion-i-Silvestre, A Sanso","A guide to the computation of stationarity tests","Empirical Economics",2006,31,"2",433,448,"econometrics"
"794","DN Dejong, R Liesenfeld, JF Richard","Timing structural change: A conditional probabilistic approach","Journal of Applied Econometrics",2006,21,"2",175,190,"econometrics"
"795","ABC Galvao","Structural break threshold VARs for predicting us recessions using the spread","Journal of Applied Econometrics",2006,21,"4",463,487,"econometrics"
"796","TE Clark","Disaggregate evidence on the persistence of consumer price inflation","Journal of Applied Econometrics",2006,21,"5",563,587,"econometrics"
"797","NR Swanson, D Van dijk","Are statistical reporting agencies getting it right? Data rationality and business cycle asymmetry","Journal of Business & Economic Statistics",2006,24,"1",24,42,"econometrics"
"798","M Meitz, T Terasvirta","Evaluating models of autoregressive conditional duration","Journal of Business & Economic Statistics",2006,24,"1",104,124,"econometrics"
"799","DWK Andrews, JY Kim","Tests for cointegration breakdown over a short time period","Journal of Business & Economic Statistics",2006,24,"4",379,394,"econometrics"
"800","K Carstensen","Stock market downswing and the stability of European monetary union money demand","Journal of Business & Economic Statistics",2006,24,"4",395,402,"econometrics"
"801","A Beltratti, C Morana","Breaks and persistency: macroeconomic causes of stock market volatility","Journal of Econometrics",2006,131,"1-2",151,177,"econometrics"
"802","JM Dufour, D Pelletier, E Renault","Short run and long run causality in time series: inference","Journal of Econometrics",2006,132,"2",337,362,"econometrics"
"803","P Perron, ZJ Qu","Estimating restricted structural change models","Journal of Econometrics",2006,134,"2",373,399,"econometrics"
"804","E Andreou, E Ghysels","Monitoring disruptions in financial markets","Journal of Econometrics",2006,135,"1-2",77,124,"econometrics"
"805","DF Hendry","Robustifying forecasts from equilibrium-correction systems","Journal of Econometrics",2006,135,"1-2",399,426,"econometrics"
"806","JM Pan, JH Chen","Application of modified information criterion to multiple change point problems","Journal of Multivariate Analysis",2006,97,"10",2221,2241,"statistics"
"807","A Slaby","Expectation of rank statistics under setup of stochastic inequalities","Journal of Statistical Planning and Inference",2006,136,"2",311,319,"statistics"
"808","KY Ding, YH Wu","On the biases of change point and change magnitude estimation after CUSUM test","Journal of Statistical Planning and Inference",2006,136,"4",1258,1280,"statistics"
"809","C Park, WC Kim","Wavelet estimation of a regression function with a sharp change point in a random design","Journal of Statistical Planning and Inference",2006,136,"7",2381,2394,"statistics"
"810","FA Quintana","A predictive view of Bayesian clustering","Journal of Statistical Planning and Inference",2006,136,"8",2407,2429,"statistics"
"811","A Aue","Testing for parameter stability in RCA(1) time series","Journal of Statistical Planning and Inference",2006,136,"9",3070,3089,"statistics"
"812","A Vexler","Guaranteed testing for epidemic changes of a linear regression model","Journal of Statistical Planning and Inference",2006,136,"9",3101,3120,"statistics"
"813","YH Wu","Inference for post-change mean by a CUSUM procedure","Journal of Statistical Planning and Inference",2006,136,"10",3625,3646,"statistics"
"814","S Na, S Lee, H Park","Sequential empirical process in autoregressive models with measurement errors","Journal of Statistical Planning and Inference",2006,136,"12",4204,4216,"statistics"
"815","G Pons","Testing monthly seasonal unit roots with monthly and quarterly information","Journal of Time Series Analysis",2006,27,"2",191,209,"statistics"
"816","R Becker, W Enders, J Lee","A stationarity test in the presence of an unknown number of smooth breaks","Journal of Time Series Analysis",2006,27,"3",381,409,"statistics"
